Step,PnL
0,0.0
1,-98.30503156803024
2,-51.81995295852539
3,-193.90680943349435
4,-1132.8568113784277
5,-969.527966826543
6,-1663.790995410047
7,-2251.9952018814365
8,-2932.3668656821974
9,-2796.6931456432794
10,-3125.614256230023
11,-2919.9668971805368
12,-2886.288996118965
13,-2896.4899707352306
14,-2628.858103670733
15,-2873.418404750555
16,-3112.161003335772
17,-3110.6828040097607
18,-3110.526900313067
19,-3665.5598066559323
20,-3656.1882700543792
21,-4859.3232359329995
22,-5219.5489195022965
23,-4725.745929674013
24,-5141.624614139349
25,-6493.435313642942
26,-5979.449676932898
27,-4774.363796879887
28,-5552.933863666913
29,-5682.432396197226
30,-5692.692473435862
31,-5122.5813781549805
32,-3671.626259724013
33,-4693.06309959972
34,-5347.188387711707
35,-6744.771535425098
36,-7429.954000778991
37,-7965.389199517522
38,-7934.11632982039
39,-8493.333377504314
40,-8893.762060339432
41,-7406.3269409584755
42,-7146.044112606032
43,-8588.416109732018
44,-8908.081941702869
45,-6146.154021042326
46,-5814.138985756057
47,-6025.241418571924
48,-5265.733420470322
49,-5428.218520945986
50,-4778.043982387477
51,-3881.2931628885126
52,-2356.4632319872035
53,-1951.4081733768398
54,-3449.638357754462
55,-2342.5397663044278
56,-4377.827181453715
57,-3287.243984433604
58,-3805.726490012574
59,-2310.1479519992863
60,-4266.847668945207
61,-3235.214330552073
62,-3738.519552017693
63,-2046.9737818341237
64,-2042.029912057551
65,-7572.068896034398
66,-8616.60911536406
67,-8059.163490449311
68,-6678.608165751852
69,-6417.9991013006365
70,-6979.905116241716
71,-5938.153533272838
72,-4009.9061709129455
73,-6311.049705656638
74,-8491.880641387368
75,-10908.127948652735
76,-10657.114727905588
77,-11057.282102673096
78,-12144.859122982409
79,-10877.391835803646
80,-11434.88414391852
81,-11340.156303618089
82,-10838.725297837795
83,-13207.250083225503
84,-10423.01620715567
85,-9870.351114559162
86,-10977.4131731948
87,-13121.690352376521
88,-12482.853338213288
89,-11420.71580575619
90,-14850.587498062378
91,-11179.198540169222
92,-9536.82012612764
93,-10407.015997995448
94,-10823.985242973024
95,-8815.182616765844
96,-8397.230611566498
97,-9638.362489936699
98,-8023.5791503942455
99,-7260.372867262238
100,-7093.189995689754
101,-4392.705231431231
102,-5787.716406972933
103,-5028.568733665801
104,-5054.4082811637345
105,-3758.987360551022
106,-3580.8550162285246
107,-5363.77483333803
108,-7385.878532110699
109,-6114.482372465267
110,-5538.974334775237
111,-5286.2965061969735
112,-6173.058797840131
113,-5069.325177947001
114,-5218.383020487076
115,-4046.956289157446
116,-5731.213765935478
117,-12015.71180814004
118,-11009.271811751241
119,-9500.018521222286
120,-13566.663805792457
121,-15146.599999423284
122,-16978.279405687383
123,-18324.221431349666
124,-19984.168232252865
125,-19543.49314695575
126,-17886.861353457396
127,-17610.730385973846
128,-18233.064478745015
129,-18978.15465679561
130,-18050.57467520026
131,-17997.407132391512
132,-17512.059299989633
133,-18261.630668058366
134,-17888.596236429497
135,-19901.980150915042
136,-20736.348440200818
137,-22481.18517330216
138,-23640.080988025948
139,-23762.080164227402
140,-26001.60633038181
141,-23022.850471028854
142,-19155.334042551985
143,-20030.779370133154
144,-21182.366778588635
145,-23020.694008073348
146,-23750.30764426684
147,-24270.58263309556
148,-24621.80639735784
149,-24629.924891299714
150,-24882.473934208494
151,-24872.8140478727
152,-24760.243086819377
153,-24726.934671159746
154,-24514.80682307674
155,-23701.621415228714
156,-23736.758399900107
157,-23216.306003498103
158,-22926.516410297278
159,-20311.15598544822
160,-19217.641367801305
161,-18819.97773064542
162,-19080.9244478209
163,-19445.17876638296
164,-19105.356903793203
165,-19286.735678877303
166,-21782.56955738156
167,-21283.699317387756
168,-24280.858915674864
169,-27131.12812776932
170,-27983.23052982657
171,-27767.445542790825
172,-26291.605621526163
173,-27543.638946412684
174,-27634.614398315156
175,-27113.26962150025
176,-22955.562157396256
177,-24289.49147547863
178,-27537.38892042161
179,-27177.95693295836
180,-24883.306693040504
181,-24032.903553189084
182,-24187.623602601292
183,-22279.32199075009
184,-21385.76810596064
185,-21226.921625773626
186,-20738.31173149793
187,-21329.300755321805
188,-22948.587616000936
189,-22917.183723411392
190,-20773.07218437665
191,-21129.444572582055
192,-24372.8056721428
193,-22653.16565379432
194,-21728.79763901056
195,-22781.443022349064
196,-19970.28215739093
197,-19184.712040962913
198,-23386.53741488626
199,-28163.431636554713

Portfolio Snapshot
Asset,Size,AvgPrice
BTC-USD,10,25330.416152061636
ETH-USD,14,1653.8730297199695
AAPL,20,128.69772694149455
EURUSD,-2,0.0
